"","exp.box","exp.num","exp.id","start.date","colony.id","box.id","treat1","treat2","extract.id","treat.mgmL","FG.g","trash.g","trash2.g","sum.trash.trash2","marcynorm","marcynorm.sumtrash","PCA.dmso","PCA.na","PCA.dmso.sumtrash","PCA.na.sumtrash","trashing.success","n.ants","exp.hours","treat.application","acclimation","humidity.perc","date.box.poured","pour.controlled","fg.manip","location","dig.site","date.collected","soil.temps","chamber.depths","collected.by","recording","notes","ipad.pics","gopro.data","sample.sheet"
"1","e01.b01",1,"nAntPilot","2020-07-16",408,1,"crude","","MB0895","10",0.37,0.21031,NA,0.21031,NA,NA,NA,NA,NA,NA,"?","10",9,"atomizer?","half","unknown","unknown","n, too heavy for analytical scale","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 23.3C; Bottom soil temp: 23.1C","Top chamber: 5-13cm x 6cm; Bottom chamber: 18-27cm x 6cm","Katie Kyle","hero5 black, video, 720p,60fps? linear frame","200uL extract into bottom 50mL conical, then suck up through atomizer nozzle into 1mL syringe, flick get rid of air and set to 0.2cc then spray; sprayed 200uL treatment from top of upside down 100mm Nalgene plastic funnel - have spray tip even with where upside down funnel starts to widen (so spray doesn't hit sides of funnel); Spray 0.2cc first with even, quick push of syringe plunger, then up-down plunger aggresively several times to expel some dead space; same pipette tip, 50mL conical, and syringe used for all (all same treatments)","https://drive.google.com/drive/folders/12J4eBB_lYV4ETolDXoSs4wMaFrQr1hlo?usp=sharing","kekws:/sda/GoPro/2020-07-16_1.nAntPilot_hero5video/","https://docs.google.com/spreadsheets/d/1pjpmTw56jElxaC9k3HvMiYd9p31oF3cqVxBnw2KiBKU/edit?usp=sharing"
"2","e01.b02",1,"nAntPilot","2020-07-16",408,2,"crude","","MB0895","10",0.4,0.13788,NA,0.13788,NA,NA,NA,NA,NA,NA,"?","8",9,"atomizer?","half","unknown","unknown","n, too heavy for analytical scale","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 23.3C; Bottom soil temp: 23.1C","Top chamber: 5-13cm x 6cm; Bottom chamber: 18-27cm x 6cm","Katie Kyle","","","","",""
"3","e01.b03",1,"nAntPilot","2020-07-16",408,3,"crude","","MB0895","10",0.38,0.17538,NA,0.17538,NA,NA,NA,NA,NA,NA,"?","7",9,"atomizer?","half","unknown","unknown","n, too heavy for analytical scale","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 23.3C; Bottom soil temp: 23.1C","Top chamber: 5-13cm x 6cm; Bottom chamber: 18-27cm x 6cm","Katie Kyle","","","","",""
"4","e01.b05",1,"nAntPilot","2020-07-16",414,5,"crude","","MB0895","10",0.42,0.15077,NA,0.15077,NA,NA,NA,NA,NA,NA,"?","10",9,"atomizer?","n","unknown","unknown","n, too heavy for analytical scale","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 26.7C; Bottom soil temp: 26.0C","Top chamber: 6-17cm x 9cm; Bottom chamber: 12-24cm x 12cm","Jonathan Klassen","","","","",""
"5","e01.b06",1,"nAntPilot","2020-07-16",414,6,"crude","","MB0895","10",0.38,0.31957,NA,0.31957,NA,NA,NA,NA,NA,NA,"?","8",9,"atomizer?","n","unknown","unknown","n, too heavy for analytical scale","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 26.7C; Bottom soil temp: 26.0C","Top chamber: 6-17cm x 9cm; Bottom chamber: 12-24cm x 12cm","Jonathan Klassen","","","","",""
"6","e01.b07",1,"nAntPilot","2020-07-16",414,7,"crude","","MB0895","10",0.36,0.19062,NA,0.19062,NA,NA,NA,NA,NA,NA,"?","7",9,"atomizer?","n","unknown","unknown","n, too heavy for analytical scale","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 26.7C; Bottom soil temp: 26.0C","Top chamber: 6-17cm x 9cm; Bottom chamber: 12-24cm x 12cm","Jonathan Klassen","","","","",""
"7","e01.b08",1,"nAntPilot","2020-07-16",416,8,"crude","","MB0895","10",0.36,0.25049,NA,0.25049,NA,NA,NA,NA,NA,NA,"?","10",9,"atomizer?","mostly","unknown","unknown","n, too heavy for analytical scale","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 22.0C; Middle soil temp: 21.0C; Bottom soil temp: 21.7C","Top chamber: 6-13cm x 7cm; Middle chamber: 18-26cm x 10cm; Bottom chamber: 38-42cm x 5cm","Jonathan Klassen","","<200uL treatment (~150uL?)","","",""
"8","e01.b04",1,"nAntPilot","2020-07-16",416,4,"crude","","MB0895","10",0.4,0.25147,NA,0.25147,NA,NA,NA,NA,NA,NA,"?","7",9,"atomizer?","mostly","unknown","unknown","n, too heavy for analytical scale","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 22.0C; Middle soil temp: 21.0C; Bottom soil temp: 21.7C","Top chamber: 6-13cm x 7cm; Middle chamber: 18-26cm x 10cm; Bottom chamber: 38-42cm x 5cm","Jonathan Klassen","","","","",""
"9","e02.b01",2,"1081crudeR1","2020-07-22",410,1,"crude","","MB1081","10",0.4155,0.07883,NA,0.07883,NA,NA,65591.66667,3466.968326,65591.66667,3466.968326,"y","7",9,"atomizer","y","unknown","2020-07-17","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.8C; Bottom soil temp: 24.2C","Top chamber: 10-19cm x 13cm; Bottom chamber: 19-26cm x 10cm","Jonathan Klassen","hero5 black, video, 720p,60fps? linear frame","poured 12 boxes 7/17 using less plaster but not weighing; unmeasured water squirt before starting (typical, may have done for nAntPilot too?); crude pretty chunky, precipitate that won't disperse well with vortexing and stuck in pipette tip; trash weighed on scale XS105 dual Range - max 41/120g, d=0.01/0.1mg","https://drive.google.com/drive/folders/12Qzrkpl_6yKl5BdcFlkaJkHXalbYnyZk?usp=sharing","kekws:/sda/GoPro/2020-07-22_2.MB1081crudeR1_hero5video/","https://docs.google.com/spreadsheets/d/1eVAlBw_iuj5RBABQrOlMz8ZRmdyng4M6rNQLCjlO_tU/edit?usp=sharing"
"10","e02.b02",2,"1081crudeR1","2020-07-22",410,2,"dmso","","","0.50%",0.3693,0.00012,NA,0.00012,NA,NA,0,-94.57013575,0,-94.57013575,"y","7",9,"atomizer","y","unknown","2020-07-17","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.8C; Bottom soil temp: 24.2C","Top chamber: 10-19cm x 13cm; Bottom chamber: 19-26cm x 10cm","Jonathan Klassen","","from Balunas lab last year:Fischer BP231-100, CAS 67-68-5, lot 188211","","",""
