"","exp.box","exp.num","exp.id","start.date","colony.id","dig.site","box.id","exp.col.ext.hum","nc.id","treat1","treat2","extract.id","extract.id.fill","treat.mgmL","FG.g","trash.g","trash2.g","sum.trash.trash2","PCA.dmso","PCA.na","PCA.dmso.sumtrash","PCA.na.sumtrash","trashing.success","n.ants","exp.hours","treat.application","acclimation","humidity.perc","date.box.poured","pour.controlled","fg.manip","location","recording","notes","ipad.pics","gopro.data","sample.sheet"
"1","e02.b01",2,"1081crudeR1","2020-07-22",410,"NJ.Hawkins",1,"2.410.MB1081.unkn",NA,"crude","","MB1081","MB1081","10",0.4155,0.07883,NA,0.07883,65591.66667,3466.968326,65591.66667,3466.968326,"y","7",9,"atomizer","y","unknown","2020-07-17","n","weigh","main lab bench","hero5 black, video, 720p,60fps? linear frame","poured 12 boxes 7/17 using less plaster but not weighing; unmeasured water squirt before starting (typical, may have done for nAntPilot too?); crude pretty chunky, precipitate that won't disperse well with vortexing and stuck in pipette tip; trash weighed on scale XS105 dual Range - max 41/120g, d=0.01/0.1mg","https://drive.google.com/drive/folders/12Qzrkpl_6yKl5BdcFlkaJkHXalbYnyZk?usp=sharing","kekws:/sda/GoPro/2020-07-22_2.MB1081crudeR1_hero5video/","https://docs.google.com/spreadsheets/d/1eVAlBw_iuj5RBABQrOlMz8ZRmdyng4M6rNQLCjlO_tU/edit?usp=sharing"
"2","e02.b02",2,"1081crudeR1","2020-07-22",410,"NJ.Hawkins",2,"2.410.MB1081.unkn",NA,"dmso","","","MB1081","0.50%",0.3693,0.00012,NA,0.00012,0,-94.57013575,0,-94.57013575,"y","7",9,"atomizer","y","unknown","2020-07-17","n","weigh","main lab bench","","from Balunas lab last year:Fischer BP231-100, CAS 67-68-5, lot 188211","","",""
"3","e02.b03",2,"1081crudeR1","2020-07-22",410,"NJ.Hawkins",3,"2.410.MB1081.unkn",NA,"na","","","MB1081","",0.3737,0.00221,NA,0.00221,1741.666667,0,1741.666667,0,"y","7",9,"","y","unknown","2020-07-17","n","weigh","main lab bench","","","","",""
"4","e02.b04",2,"1081crudeR1","2020-07-22",411,"NJ.Hawkins",4,"2.411.MB1081.unkn",NA,"crude","","MB1081","MB1081","10",0.3682,0.07933,NA,0.07933,83.46438483,381.0794421,83.46438483,381.0794421,"kind of","7",9,"atomizer","n","unknown","2020-07-17","n","weigh","main lab bench","","","","",""
"5","e02.b05",2,"1081crudeR1","2020-07-22",411,"NJ.Hawkins",5,"2.411.MB1081.unkn",NA,"dmso","","","MB1081","0.50%",0.3761,0.04324,NA,0.04324,0,162.219527,0,162.219527,"kind of","7",9,"atomizer","n","unknown","2020-07-17","n","weigh","main lab bench","","","","",""
"6","e02.b06",2,"1081crudeR1","2020-07-22",411,"NJ.Hawkins",6,"2.411.MB1081.unkn",NA,"na","","","MB1081","",0.3687,0.01649,NA,0.01649,-61.8640148,0,-61.8640148,0,"kind of","7",9,"","n","unknown","2020-07-17","n","weigh","main lab bench","","","","",""
"7","e03.b07",3,"1081crudeR2","2020-07-23",422,"NJ.BTByrne",7,"3.422.MB1081.unkn",NA,"crude","","MB1081","MB1081","10",0.4036,0.02113,NA,0.02113,8.414571575,92.26569609,8.414571575,92.26569609,"n","7",9,"atomizer","y","unknown","2020-07-17","n","weigh","main lab bench","hero5 black, video, 720p,60fps? linear frame","boxes watered just prior to exp. start; fresh crude from SPP","https://drive.google.com/drive/folders/12S6uR60K3hnSC3E6_jP6q47amYRhIgRS?usp=sharing","kekws:/sda/GoPro/2020-07-23_3.MB1081crudeR2_hero5video/","same as R1 ( https://docs.google.com/spreadsheets/d/1eVAlBw_iuj5RBABQrOlMz8ZRmdyng4M6rNQLCjlO_tU/edit?usp=sharing )"
"8","e03.b08",3,"1081crudeR2","2020-07-23",422,"NJ.BTByrne",8,"3.422.MB1081.unkn",NA,"dmso","","","MB1081","0.50%",0.4004,0.01949,NA,0.01949,0,77.34303913,0,77.34303913,"n","7",9,"atomizer","y","unknown","2020-07-17","n","weigh","main lab bench","","","","",""
"9","e03.b09",3,"1081crudeR2","2020-07-23",422,"NJ.BTByrne",9,"3.422.MB1081.unkn",NA,"na","","","MB1081","",0.3879,0.01099,NA,0.01099,-43.61210877,0,-43.61210877,0,"n","7",9,"atomizer","y","unknown","2020-07-17","n","weigh","main lab bench","","","","",""
"10","e03.b10",3,"1081crudeR2","2020-07-23",409,"NJ.Hawkins",10,"3.409.MB1081.unkn",NA,"crude","","MB1081","MB1081","10",0.2089,0.00513,NA,0.00513,266.4285714,407.9207921,266.4285714,407.9207921,"n","7",9,"atomizer","n","unknown","2020-07-17","n","weigh","main lab bench","","","","",""
